Athlete Name,Nouns,Values,Adjectives,Sponsor,IG Followers,Practiced Sport,Nationality,Core Audience,Net Worth (Estimated),Age,Agent,Sports Sponsors
Makenna Myler,"Middle-distance,Track and Field","Speed,Agility,Tactical thinking","Promising,Dedicated,Ambitious",New Balance,5K,Track and Field,American,"Track athletes,running fans",150K (approx.),22,Unknown,"Asics,New Balance"
Makena Morley,"Distance Running,Track and Field","Endurance,Resilience,Determination","Accomplished,Inspirational,Passionate",Asics,18K,Distance Running,American,"Runners,marathon enthusiasts",300K (approx.),28,Unknown,Asics
Flora Duffy,"Triathlon,Olympics,Cycling","Endurance,Strength,Agility","Exceptional,Inspirational,Dominant",Specialized,80K,Triathlon,Bermudian,"Triathletes,Olympic fans",1 million (approx.),36,Unknown,Asics
Bukayo Saka,"Soccer,Midfielder,Arsenal and England","Speed,Agility,Endurance","Talented,Dedicated,Inspirational",New Balance,150K,Soccer,English,"Soccer fans,Premier League enthusiasts",30 million (approx.),22,Unknown,New Balance
Coco Gauff,Tennis,"Agility,Strategic thinking,Mental toughness","Exceptional,Dominant,Inspirational",New Balance,200K,Tennis,American,"Tennis fans,Grand Slam enthusiasts",7 million (approx.),20,Unknown,New Balance
Tommy Paul,Tennis,"Agility,Strategic thinking,Mental toughness","Skilled,Ambitious,Inspirational",Nike,50K,Tennis,American,"Tennis enthusiasts,ATP fans",2 million (approx.),27,Unknown,"Nike,New Balance"
Zoe Hobbs,"Sprinting,Track and Field","Speed,Strength,Confidence","Dynamic,Inspirational,Rising star",New Balance,20K,Track and Field,New Zealander,"Sprinters,track fans",100K (approx.),28,Unknown,New Balance
Trayvon Bromell,"Sprinting,Track and Field","Speed,Strength,Focus","Talented,Dedicated,Inspirational",New Balance,25K,Track and Field,American,"Track enthusiasts,sprinting fans",150K (approx.),28,Unknown,New Balance
Emily Sisson,"Distance Running,Track and Field","Endurance,Resilience,Determination","Accomplished,Inspirational,Passionate",New Balance,30K,Distance Running,American,"Runners,marathon enthusiasts",200K (approx.),32,Unknown,New Balance
Femke Bol,"Middle-distance,Track and Field","Speed,Agility,Tactical thinking","Skilled,Ambitious,Inspirational",New Balance,20K,Track and Field,Dutch,"Track athletes,running fans",150K (approx.),24,Unknown,New Balance
Sydney McLaughlin-Levrone,"Hurdling,Track and Field","Speed,Agility,Resilience","Exceptional,Inspirational,Dominant",New Balance,300K,Track and Field,American,"Track enthusiasts,Olympic fans",8 million (approx.),24,Unknown,New Balance 
Natalia Kaczmarek,"Sprinting,Track and Field","Speed,Strength,Confidence","Dynamic,Inspirational,Rising star",Puma,15K,Track and Field,Polish,"Sprinters,track fans",80K (approx.),26,Unknown,"Puma,New Balance"
Nozomi Tanaka,"Distance Running,Track and Field","Endurance,Resilience,Determination","Accomplished,Inspirational,Passionate",Mizuno,20K,Distance Running,Japanese,"Runners,marathon enthusiasts",120K (approx.),29,Unknown,"Mizuno,New Balance"
Ciara Mageean,"Middle-distance,Track and Field","Speed,Agility,Tactical thinking","Skilled,Ambitious,Inspirational",New Balance,25K,Track and Field,Irish,"Track athletes,running fans",150K (approx.),31,Unknown,"New Balance,New Balance"
Jake Wightman,"Middle-distance,Track and Field","Speed,Agility,Strategic thinking","Exceptional,Inspirational,Dominant",Adidas,50K,Track and Field,British,"Track enthusiasts,Olympic fans",400K (approx.),29,Unknown,New Balance
Gabby Thomas,"Sprinting,Track and Field","Speed,Strength,Confidence","Dynamic,Inspirational,Rising star",Nike,30K,Track and Field,American,"Sprinters,track fans",200K (approx.),26,Unknown,"Nike,New Balance"
Martina Bilora,"Javelin,Track and Field","Strength,Technique,Focus","Talented,Dedicated,Inspirational",Fila,8K,Track and Field,Italian,"Track athletes,throwing enthusiasts",50K (approx.),24,Unknown,"Fila,New Balance"
Mattia Bertoncini,"Long Jump,Track and Field","Power,Technique,Confidence","Promising,Dedicated,Ambitious",Diadora,5K,Track and Field,Italian,"Track enthusiasts,jumping fans",30K (approx.),22,Unknown,"Diadora,New Balance"
Manuel Marillas,"Triathlon,Olympics","Endurance,Strength,Agility","Resilient,Inspirational,Trailblazing",2XU,15K,Triathlon,Mexican,"Triathletes,Olympic enthusiasts",100K (approx.),30,Unknown,"2XU,New Balance"
Riccardo Borgialli,"Cycling,Road Racing","Endurance,Strategy,Teamwork","Skilled,Ambitious,Inspirational",Bianchi,20K,Cycling,Italian,"Cyclists,Giro d'Italia fans",150K (approx.),28,Unknown,"Bianchi,New Balance"
Francis Ngannou,"MMA,UFC,Heavyweight","Power,Endurance,Resilience","Dominant,Inspirational,Ferocious",Reebok,2.5M,MMA,Cameroonian,"MMA enthusiasts,UFC fans",6 million (approx.),37,Unknown,"Reebok,Gymshark"
Hellah Sidibe,"Sprinting,Track and Field","Speed,Strength,Confidence","Dynamic,Inspirational,Rising star",Nike,10K,Track and Field,French,"Sprinters,track fans",60K (approx.),24,Unknown,"Nike,Gymshark"
Devon LÃ©vesque,"Gymnastics,Artistic Gymnastics","Flexibility,Balance,Artistry","Talented,Dedicated,Inspirational",GK Elite,20K,Gymnastics,American,"Gymnasts,Olympic enthusiasts",100K (approx.),24,Unknown,Gymshark
Katie Taylor,"Boxing,Lightweight,Olympics","Agility,Strategic thinking,Mental toughness","Legendary,Inspirational,Trailblazing",Adidas,100K,Boxing,Irish,"Boxing fans,Olympic enthusiasts",1.5 million (approx.),37,Unknown,"Gymshark,Adidas"
Kelley O'Hara,"Soccer,Forward,Washington Spirit and USWNT","Speed,Agility,Endurance","Dynamic,Inspirational,Skilled",Adidas,70K,Soccer,American,"Soccer fans,NWSL enthusiasts",1.5 million (approx.),35,Unknown,"Under Armour,Adidas"
Jordan Spieth,"Golf,PGA Tour","Accuracy,Strategic thinking,Mental toughness","Exceptional,Dominant,Inspirational",Under Armour,1.5M,Golf,American,"Golf enthusiasts,PGA Tour fans",110 million (approx.),30,Unknown,Under Armour
Barbora Krejcikova,"Tennis,Singles and Doubles","Agility,Strategic thinking,Mental toughness","Exceptional,Inspirational,Dominant",Dunlop,150K,Tennis,Czech,"Tennis fans,Grand Slam enthusiasts",4 million (approx.),28,Unknown,"Fila,Dunlop"
Karolina Pliskova,"Tennis,Singles","Power,Accuracy,Mental resilience","Skilled,Ambitious,Inspirational",Babolat,200K,Tennis,Czech,"Tennis enthusiasts,WTA fans",7 million (approx.),31,Unknown,"Fila,Babolat"
Shelby Rogers,"Tennis,Singles","Agility,Strategic thinking,Endurance","Dynamic,Inspirational,Rising star",Yonex,50K,Tennis,American,"Tennis fans,WTA enthusiasts",1.5 million (approx.),31,Unknown,"Fila,Yonex"
Terence Crawford,"Boxing,Welterweight,Champion","Power,Agility,Strategic thinking","Dominant,Inspirational,Undefeated",Everlast,200K,Boxing,American,"Boxing enthusiasts,Top Rank fans",14 million (approx.),36,Unknown,Everlast
Alycia Baumgardner,"Boxing,Featherweight,Champion","Speed,Agility,Resilience","Dynamic,Inspirational,Rising star",Adidas,50K,Boxing,American,"Boxing fans,Women's boxing enthusiasts",500K (approx.),28,Unknown,"Everlast,Adidas"
Conor Benn,"Boxing,Welterweight,Prospect","Power,Confidence,Ambition","Promising,Inspirational,Undefeated",Adidas,100K,Boxing,British,"Boxing enthusiasts,Matchroom fans",1 million (approx.),27,Unknown,"Everlast,Adidas"
Dustin Poirier,"MMA,Lightweight,UFC","Agility,Endurance,Mental toughness","Resilient,Inspirational,Top contender",Reebok,500K,MMA,American,"MMA enthusiasts,UFC fans",4 million (approx.),34,Unknown,"Everlast,Reebok"
Claressa Shields,"Boxing,Middleweight,Champion","Power,Agility,Mental resilience","Legendary,Inspirational,Undefeated",Under Armour,150K,Boxing,American,"Boxing fans,Women's boxing enthusiasts",5 million (approx.),28,Unknown,"Everlast,Under Armour"
Mikaela Mayer,"Boxing,Junior Lightweight,Champion","Speed,Agility,Tactical thinking","Skilled,Inspirational,Olympic medalist",Nike,70K,Boxing,American,"Boxing enthusiasts,Women's boxing fans",750K (approx.),33,Unknown,"Everlast,Nike"
Keyshawn Davis,"Boxing,Lightweight,Prospect","Speed,Agility,Confidence","Promising,Inspirational,Rising star",Adidas,20K,Boxing,American,"Boxing fans,Olympic enthusiasts",200K (approx.),24,Unknown,"Everlast,Adidas"
Bruce Carrington,"Boxing,Featherweight,Prospect","Agility,Power,Ambition","Promising,Inspirational,Rising star",Everlast,15K,Boxing,American,"Boxing enthusiasts,NYC boxing fans",100K (approx.),25,Unknown,Everlast
Dennis McCann,"Boxing,Bantamweight,Prospect","Speed,Agility,Resilience","Promising,Inspirational,Rising star",Adidas,10K,Boxing,British,"Boxing fans,UK boxing enthusiasts",80K (approx.),22,Unknown,"Everlast,Adidas"
Leah McCourt,"Boxing,Featherweight","Agility,Endurance,Mental toughness","Resilient,Inspirational,Women's boxing pioneer",Adidas,8K,Boxing,Irish,"Boxing enthusiasts,Women's boxing fans",50K (approx.),30,Unknown,"Everlast,Adidas"
Liam Smith,"Boxing,Middleweight","Power,Agility,Experience","Skilled,Inspirational,World title contender",Everlast,50K,Boxing,British,"Boxing enthusiasts,Matchroom fans",1.5 million (approx.),34,Unknown,Everlast
Natascha Jonas,"Boxing,Lightweight,Champion","Speed,Agility,Tactical thinking","Dynamic,Inspirational,Women's boxing trailblazer",Adidas,20K,Boxing,British,"Boxing fans,Women's boxing enthusiasts",150K (approx.),38,Unknown,"Everlast,Adidas"
Chantelle Cameron,"Boxing,Junior Middleweight,Champion","Power,Agility,Resilience","Dominant,Inspirational,Undisputed champion",Everlast,30K,Boxing,British,"Boxing enthusiasts,Women's boxing fans",200K (approx.),31,Unknown,Everlast
Johnny Fisher,"Boxing,Middleweight","Agility,Power,Ambition","Promising,Inspirational,Rising star",Adidas,10K,Boxing,British,"Boxing fans,UK boxing enthusiasts",60K (approx.),24,Unknown,"Everlast,Adidas"
Julian Edelman,"Football,Wide Receiver,NFL Legend","Speed,Agility,Endurance","Resilient,Inspirational,Super Bowl MVP",Nike,100K,Football,American,"Patriots fans,NFL enthusiasts",20 million (approx.),37,Unknown,"Reebok,Nike"
FranÃ§ois D'haene,"Ultrarunning,Trail Running","Endurance,Resilience,Strategic thinking","Legendary,Inspirational,3x UTMB winner",Salomon,80K,Ultrarunning,French,"Ultrarunning enthusiasts,UTMB fans",1.2 million (approx.),48,Unknown,Salomon
Courtney Dauwalter,"Ultrarunning,Trail Running","Endurance,Mental toughness,Resilience","Dominant,Inspirational,3x Hardrock 100 winner",Salomon,120K,Ultrarunning,American,"Ultrarunning enthusiasts,Western States fans",1.5 million (approx.),38,Unknown,Salomon
Mathieu Blanchard,"Ultrarunning,Trail Running","Agility,Endurance,Tactical thinking","Dynamic,Inspirational,2x Transvulcania winner",Hoka One One,30K,Ultrarunning,French,"Ultrarunning fans,Transvulcania enthusiasts",400K (approx.),34,Unknown,"Hoka One One,Salomon"
Marianne Hogan,"Ultrarunning,Trail Running","Endurance,Resilience,Passion","Accomplished,Inspirational,Women's ultrarunning pioneer",La Sportiva,20K,Ultrarunning,Canadian,"Ultrarunning enthusiasts,Women's trail running",150K (approx.),42,Unknown,"La Sportiva,Salomon"
RÃ©mi Bonnet,"Ultrarunning,Skyrunning","Agility,Power,Endurance","Exceptional,Inspirational,2x Skyrunning World Champion",Salomon,50K,Skyrunning,Swiss,"Skyrunning enthusiasts,UTMB fans",700K (approx.),36,Unknown,"Salomon,"
Lucy Bartholomew,"Ultrarunning,Trail Running","Endurance,Resilience,Confidence","Dynamic,Inspirational,Rising star",Hoka One One,40K,Ultrarunning,Australian,"Ultrarunning fans,Australian trail running",250K (approx.),28,Unknown,"Hoka One One,Salomon"
AnaÃ¯s Quemener,"Ultrarunning,Trail Running","Speed,Agility,Endurance","Promising,Inspirational,French ultrarunning talent",New Balance,15K,Ultrarunning,French,"Ultrarunning enthusiasts,French trail running",80K (approx.),26,Unknown,"New Balance,Salomon"
Emilie Morier,"Ultrarunning,Trail Running","Endurance,Resilience,Passion","Accomplished,Inspirational,Women's trail running advocate",La Sportiva,10K,Ultrarunning,French,"Ultrarunning enthusiasts,Women's trail running",50K (approx.),30,Unknown,"La Sportiva,Salomon"
Guillaume Ruel,"Ultrarunning,Trail Running","Agility,Power,Endurance","Skilled,Inspirational,Quebec ultrarunning champion",Les Trailiers,8K,Ultrarunning,Canadian,"Ultrarunning fans,Quebec trail running",40K (approx.),32,Unknown,"Les Trailiers,Salomon"
Maggie Montoya,"Ultrarunning,Trail Running","Endurance,Resilience,Confidence","Dynamic,Inspirational,Rising star",Nike,25K,Ultrarunning,American,"Ultrarunning enthusiasts,US trail running",120K (approx.),27,Unknown,"Nike,Salomon"
Noah Droddy,"Ultrarunning,Trail Running","Endurance,Mental toughness,Resilience","Resilient,Inspirational,Top US ultrarunner",Patagonia,30K,Ultrarunning,American,"Ultrarunning fans,US trail running",150K (approx.),31,Unknown,"Patagonia,Salomon"
Tabea Themann,"Ultrarunning,Trail Running","Agility,Endurance,Passion","Promising,Inspirational,German ultrarunning talent",Compressport,5K,Ultrarunning,German,"Ultrarunning enthusiasts,German trail running",30K (approx.),25,Unknown,"Compressport,Salomon"
Belinda Baggs,"Surfing,Environmentalism","Balance,Passion,Resilience","Inspirational,Eco-conscious,Surf advocate",Patagonia,30K,Surfing,Australian,"Surf enthusiasts,Environmentalists",200K (approx.),40,Unknown,Patagonia
Dave Rastovich,"Surfing,Environmentalism","Agility,Strategic thinking,Ocean advocacy","Legendary,Inspirational,Eco-warrior",Billabong,50K,Surfing,Australian,"Surf fans,Environmental enthusiasts",400K (approx.),50,Unknown,"Billabong,Patagonia"
Dan Ross,"Surfing,Coaching","Expertise,Passion,Leadership","Respected,Inspirational,Surf mentor",Rip Curl,20K,Surfing,Australian,"Surf schools,Coaching enthusiasts",100K (approx.),45,Unknown,"Patagonia,Rip Curl"
Lauren Hill,"Surfing,Journalism","Agility,Storytelling,Ocean enthusiasm","Dynamic,Inspirational,Surf journalist",Roxy,15K,Surfing,American,"Surf media,Women's surfing",80K (approx.),32,Unknown,"Patagonia,Roxy"
Heath Joske,"Surfing,Big Wave","Power,Endurance,Fearlessness","Exceptional,Inspirational,Big wave surfer",O'Neill,40K,Surfing,Australian,"Big wave enthusiasts,Surf fans",250K (approx.),35,Unknown,"O'Neill,Patagonia"
Paul Paterson,"Surfing,Photography","Artistry,Ocean love,Storytelling","Renowned,Inspirational,Surf photographer",Canon,25K,Surfing,Australian,"Surf photography enthusiasts,Ocean lovers",150K (approx.),50,Unknown,Patagonia
Wayne Lynch,"Surfing,Legend","Influence,Passion,Surf pioneering","Legendary,Inspirational,Surf icon",Quiksilver,100K,Surfing,Australian,"Surf legends,Retro surf enthusiasts",500K (approx.),70,Unknown,"Quiksilver,Patagonia"
Bill Barker,"Surfing,Innovation","Ingenuity,Passion,Surf progression","Innovative,Inspirational,Surf inventor",Surftech,10K,Surfing,American,"Surf innovators,Tech enthusiasts",60K (approx.),65,Unknown,"Surftech,Patagonia"
Greg Long,"Surfing,Big Wave","Bravery,Endurance,Ocean respect","Respected,Inspirational,Big wave legend",O'Neill,60K,Surfing,American,"Big wave surfers,Ocean enthusiasts",400K (approx.),60,Unknown,"O'Neill,Patagonia"
RamÃ³n Navarro,"Surfing,Environmentalism","Passion,Leadership,Ocean conservation","Inspirational,Eco-conscious,Surf advocate",Patagonia,40K,Surfing,Chilean,"Surf environmentalists,Conservation enthusiasts",250K (approx.),45,Unknown,Patagonia
Ben Wilkinson,"Surfing,Coaching","Expertise,Passion,Mentorship","Respected,Inspirational,Surf coach",Billabong,15K,Surfing,British,"Surf schools,Coaching fans",80K (approx.),38,Unknown,"Patagonia,Billabong"
Gerry Lopez,"Surfing,Legend","Influence,Wisdom,Surf spirituality","Legendary,Inspirational,Surf guru",Quiksilver,150K,Surfing,American,"Surf legends,Spiritual surf enthusiasts",1 million (approx.),73,Unknown,"Quiksilver,Patagonia "
Hank Gaskell,"Surfing,Adventure","Agility,Endurance,Exploration","Dynamic,Inspirational,Surf explorer",Rip Curl,30K,Surfing,American,"Surf adventure seekers,Travel enthusiasts",180K (approx.),35,Unknown,"Rip Curl,Patagonia"
Hayato Maki,"Surfing,Competition","Speed,Agility,Tactical thinking","Skilled,Inspirational,Competitive surfer",Nike,20K,Surfing,Japanese,"Surf competitors,Japan surf fans",100K (approx.),25,Unknown,"Patagonia,Nike"
Cystal Thornburg-Homcy,"Surfing,Wellness","Balance,Passion,Ocean therapy","Inspirational,Wellness-focused,Surf therapist",O'Neill,10K,Surfing,American,"Surf wellness enthusiasts,Ocean therapy",50K (approx.),30,Unknown,"Patagonia,O'Neill"
Dave Ogle,"Surf Filmmaking,Environmentalism","Artistry,Storytelling,Ocean enthusiasm","Renowned,Inspirational,Surf filmmaker",Red Bull Media House,30K,Surf Filmmaking,American,"Surf enthusiasts,Environmentalists",150K (approx.),40,Unknown,Patagonia
Eala Stewart,"Surfing,Environmentalism","Balance,Passion,Resilience","Inspirational,Eco-conscious,Surf advocate",Patagonia,20K,Surfing,Australian,"Surf fans,Environmental enthusiasts",80K (approx.),35,Unknown,Patagonia
Kimi Werner,"Surfing,Ocean Advocacy","Agility,Endurance,Ocean love","Dynamic,Inspirational,Surf advocate",Patagonia,40K,Surfing,American,"Surf enthusiasts,Ocean conservationists",250K (approx.),32,Unknown,Patagonia
